# Nmap 7.60 scan initiated Wed Apr  4 20:03:54 2018 as: nmap -p 139,445 -v -oG nmap.txt 192.168.91.0/24
# Ports scanned: TCP(2;139,445) UDP(0;) SCTP(0;) PROTOCOLS(0;)
Host: 192.168.91.50 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.51 ()  Status: Up
Host: 192.168.91.51 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.52 ()  Status: Up
Host: 192.168.91.52 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.53 ()  Status: Up
Host: 192.168.91.53 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.54 ()  Status: Up
Host: 192.168.91.54 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.55 ()  Status: Up
Host: 192.168.91.55 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.56 ()  Status: Up
Host: 192.168.91.56 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.57 ()  Status: Up
Host: 192.168.91.57 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.58 ()  Status: Up
Host: 192.168.91.58 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.59 ()  Status: Up
Host: 192.168.91.59 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.60 ()  Status: Up
Host: 192.168.91.60 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.61 ()  Status: Up
Host: 192.168.91.61 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.62 ()  Status: Up
Host: 192.168.91.62 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.63 ()  Status: Up
Host: 192.168.91.63 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.64 ()  Status: Up
Host: 192.168.91.64 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.65 ()  Status: Up
Host: 192.168.91.65 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.66 ()  Status: Up
Host: 192.168.91.66 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.67 ()  Status: Up
Host: 192.168.91.67 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.68 ()  Status: Up
Host: 192.168.91.68 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.69 ()  Status: Up
Host: 192.168.91.69 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.70 ()  Status: Up
Host: 192.168.91.70 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.71 ()  Status: Up
Host: 192.168.91.71 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.72 ()  Status: Up
Host: 192.168.91.72 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.73 ()  Status: Up
Host: 192.168.91.73 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.74 ()  Status: Up
Host: 192.168.91.74 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.75 ()  Status: Up
Host: 192.168.91.75 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.76 ()  Status: Up
Host: 192.168.91.76 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.77 ()  Status: Up
Host: 192.168.91.77 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.78 ()  Status: Up
Host: 192.168.91.78 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.79 ()  Status: Up
Host: 192.168.91.79 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.80 ()  Status: Up
Host: 192.168.91.80 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.81 ()  Status: Up
Host: 192.168.91.81 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.82 ()  Status: Up
Host: 192.168.91.82 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.83 ()  Status: Up
Host: 192.168.91.83 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.84 ()  Status: Up
Host: 192.168.91.84 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.85 ()  Status: Up
Host: 192.168.91.85 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.86 ()  Status: Up
Host: 192.168.91.86 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.87 ()  Status: Up
Host: 192.168.91.87 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.88 ()  Status: Up
Host: 192.168.91.88 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.89 ()  Status: Up
Host: 192.168.91.89 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.90 ()  Status: Up
Host: 192.168.91.90 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.91 ()  Status: Up
Host: 192.168.91.91 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.92 ()  Status: Up
Host: 192.168.91.92 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.93 ()  Status: Up
Host: 192.168.91.93 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.94 ()  Status: Up
Host: 192.168.91.94 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.95 ()  Status: Up
Host: 192.168.91.95 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.96 ()  Status: Up
Host: 192.168.91.96 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.97 ()  Status: Up
Host: 192.168.91.97 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.98 ()  Status: Up
Host: 192.168.91.98 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.99 ()  Status: Up
Host: 192.168.91.99 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.100 () Status: Up
